127.0.0.1, 2016-09-23 11:06:27, GET, /, HTTP/1.1, 303, 0.000878
127.0.0.1, 2016-09-23 11:06:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.767916
127.0.0.1, 2016-09-23 11:06:28, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000520
127.0.0.1, 2016-09-23 11:06:28, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001652
127.0.0.1, 2016-09-23 11:06:28, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000978
127.0.0.1, 2016-09-23 11:06:28, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001183
127.0.0.1, 2016-09-23 11:06:28, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002486
127.0.0.1, 2016-09-23 11:06:28, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001076
127.0.0.1, 2016-09-23 11:06:28, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002302
127.0.0.1, 2016-09-23 11:06:28, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000990
127.0.0.1, 2016-09-23 11:06:28, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001136
127.0.0.1, 2016-09-23 11:06:28, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001902
127.0.0.1, 2016-09-23 11:06:28, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000273
127.0.0.1, 2016-09-23 11:06:30, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000792
127.0.0.1, 2016-09-23 11:06:30, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001662
127.0.0.1, 2016-09-23 11:06:30, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001209
127.0.0.1, 2016-09-23 11:06:30, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001536
127.0.0.1, 2016-09-23 11:06:49, GET, /start, HTTP/1.1, 200, 0.626161
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000328
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000308
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.000418
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001537
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001511
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.001147
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.002069
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003513
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.001641
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001677
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/js/share.js, HTTP/1.1, 200, 0.001681
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/images/favicon.ico, HTTP/1.1, 200, 0.001415
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000714
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/images/background.jpg, HTTP/1.1, 200, 0.000391
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/images/twitter.png, HTTP/1.1, 200, 0.000302
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/images/facebook.png, HTTP/1.1, 200, 0.000386
127.0.0.1, 2016-09-23 11:06:50, GET, /start/static/images/gplus-32.png, HTTP/1.1, 200, 0.000410
